IdBien,IdCandidato,TipoBien,Registro,Descripcion,ValorAutovaluo
1,1,INMUEBLE,REGISTRO DE PREDIOS,Propiedad 1,0.0
2,1,INMUEBLE,REGISTRO DE PREDIOS,Propiedad 2,0.0
3,2,INMUEBLE,REGISTRO DE PREDIOS,Predio 1,10770.0
4,2,INMUEBLE,REGISTRO DE PREDIOS,Predio 2,11880.72
5,2,INMUEBLE,REGISTRO DE PREDIOS,Predio 3,300.0
6,2,INMUEBLE,REGISTRO DE PREDIOS,Predio 4,67493.39
7,2,MUEBLE,REGISTRO VEHICULAR,Vehículo 1,22900.0
8,2,MUEBLE,REGISTRO VEHICULAR,Vehículo 2,181390.0
9,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 1,732381.51
10,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 2,719300.0
11,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 3,1798250.0
12,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 4,1303900.0
13,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 5,3416675.0
14,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 6,27513225.0
15,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 7,3861000.0
16,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 8,4315800.0
17,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 9,175000.0
18,3,INMUEBLE,SECCION ESPECIAL DE PREDIOS RURALES,Predio 10,65000.0
19,3,INMUEBLE,SECCION ESPECIAL DE PREDIOS RURALES,Predio 11,302106.0
20,3,INMUEBLE,SECCION ESPECIAL DE PREDIOS RURALES,Predio 12,302106.0
21,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 13,25000.0
22,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 14,45642.0
23,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 15,45870.0
24,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 16,4077.3
25,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 17,4679.3
26,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 18,783694.88
27,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 19,2692591.65
28,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 20,453840.5
29,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 21,1879612.5
30,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 22,164599.77
31,3,INMUEBLE,REGISTRO DE PREDIOS,Predio 23,44016.76
32,3,INMUEBLE,URBANO,Predio 24,3054560.64
33,3,INMUEBLE,URBANO,Predio 25,4554118.98
34,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 1,24000.0
35,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 2,2200.0
36,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 3,16761.9
37,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 4,17196.31
38,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 5,32288.82
39,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 6,41430.51
40,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 7,16340.75
41,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 8,30000.0
42,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 9,43158.0
43,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 10,89036.39
44,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 11,89036.39
45,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 12,109601.47
46,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 13,89128.46
47,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 14,89128.46
48,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 15,109540.4
49,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 16,89128.46
50,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 17,89128.46
51,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 18,109723.82
52,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 19,109601.54
53,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 20,109601.47
54,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 21,109570.97
55,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 22,89266.03
56,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 23,109723.82
57,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 24,109540.4
58,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 25,88973.81
59,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 26,109601.54
60,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 27,88973.81
61,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 28,109570.97
62,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 29,120482.75
63,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 30,120482.75
64,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 31,120482.75
65,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 32,120482.75
66,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 33,120482.75
67,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 34,120482.75
68,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 35,120482.75
69,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 36,120482.75
70,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 37,120482.75
71,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 38,120482.75
72,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 39,120482.75
73,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 40,120482.75
74,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 41,120482.75
75,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 42,120482.75
76,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 43,120482.75
77,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 44,120482.75
78,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 45,120482.75
79,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 46,120482.75
80,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 47,120482.75
81,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 48,120482.75
82,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 49,120482.75
83,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 50,120482.75
84,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 51,120482.75
85,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 52,120482.75
86,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 53,120482.75
87,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 54,120482.75
88,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 55,120482.75
89,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 56,22000.0
90,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 57,359650.0
91,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 58,25000.0
92,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 59,9000.0
93,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 60,9000.0
94,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 61,9000.0
95,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 62,9000.0
96,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 63,9000.0
97,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 64,9000.0
98,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 65,9000.0
99,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 66,9000.0
100,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 67,9000.0
101,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 68,9000.0
102,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 69,9000.0
103,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 70,9000.0
104,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 71,9000.0
105,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 72,9000.0
106,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 73,9000.0
107,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 74,9000.0
108,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 75,9000.0
109,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 76,9000.0
110,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 77,9000.0
111,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 78,9000.0
112,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 79,9000.0
113,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 80,60421.2
114,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 81,258948.0
115,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 82,25000.0
116,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 83,100702.0
117,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 84,25000.0
118,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 85,25000.0
119,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 86,25000.0
120,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 87,100702.0
121,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 88,100702.0
122,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 89,25000.0
123,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 90,25000.0
124,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 91,25000.0
125,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 92,60421.12
126,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 93,25000.0
127,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 94,30000.0
128,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 95,30000.0
129,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 96,30000.0
130,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 97,30000.0
131,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 98,30000.0
132,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 99,30000.0
133,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 100,30000.0
134,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 101,30000.0
135,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 102,30000.0
136,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 103,30000.0
137,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 104,30000.0
138,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 105,30000.0
139,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 106,30000.0
140,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 107,30000.0
141,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 108,30000.0
142,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 109,30000.0
143,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 110,30000.0
144,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 111,160000.0
145,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 112,96000.0
146,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 113,143860.0
147,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 114,420071.2
148,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 115,10000.0
149,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 116,10000.0
150,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 117,10000.0
151,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 118,10000.0
152,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 119,10000.0
153,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 120,10000.0
154,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 121,10000.0
155,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 122,10000.0
156,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 123,10000.0
157,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 124,10000.0
158,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 125,10000.0
159,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 126,10000.0
160,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 127,211142.0
161,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 128,996300.0
162,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 129,526857.5
163,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 130,199851.5
164,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 131,145946.6
165,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 132,145946.6
166,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 133,145946.6
167,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 134,145946.6
168,3,MUEBLE,REGISTRO DE PROPIEDAD VEHICULAR,Vehículo 135,145946.6
