IdVisita,TipoLugar,NombreLugar,IdCandidato
1,DISTRITO,EL AGUSTINO,1
2,DISTRITO,LURIGANCHO-CHOSICA,1
3,DISTRITO,RÍMAC,1
4,PROVINCIA,CONDORCANQUI,1
5,PROVINCIA,MAYNAS,1
6,PROVINCIA,SANTA,1
7,PROVINCIA,MOQUEGUA,1
8,PROVINCIA,TRUJILLO,1
9,PROVINCIA,CHICLAYO,1
10,PROVINCIA,PIURA,1
11,PROVINCIA,TUMBES,1
12,PROVINCIA,SAN ROMÁN,1
13,PROVINCIA,PUNO,1
14,PROVINCIA,ALTO AMAZONAS,1
15,PROVINCIA,CUSCO,1
16,PROVINCIA,SAN IGNACIO,1
17,PROVINCIA,JAÉN,1
18,PROVINCIA,TACNA,1
19,PROVINCIA,URUBAMBA,1
20,PROVINCIA,CALLAO,1
21,REGION,AMAZONAS,1
22,REGION,LORETO,1
23,REGION,ÁNCASH,1
24,REGION,MOQUEGUA,1
25,REGION,LA LIBERTAD,1
26,REGION,LAMBAYEQUE,1
27,REGION,PIURA,1
28,REGION,TUMBES,1
29,REGION,PUNO,1
30,REGION,CUSCO,1
31,REGION,CAJAMARCA,1
32,REGION,TACNA,1
33,DISTRITO,SAN MARTÍN DE PORRES,2
34,DISTRITO,SAN JUAN DE LURIGANCHO,2
35,DISTRITO,PACHACÁMAC,2
36,DISTRITO,VILLA EL SALVADOR,2
37,PROVINCIA,CANCHIS,2
38,PROVINCIA,SANTA,2
39,PROVINCIA,HUARAZ,2
40,PROVINCIA,HUARAL,2
41,PROVINCIA,NAZCA,2
42,PROVINCIA,PALPA,2
43,PROVINCIA,JUNÍN,2
44,PROVINCIA,ZARUMILLA,2
45,PROVINCIA,PIURA,2
46,PROVINCIA,HUÁNUCO,2
47,PROVINCIA,SAN ROMÁN,2
48,PROVINCIA,ANDAHUAYLAS,2
49,PROVINCIA,CUSCO,2
50,REGION,CUSCO,2
51,REGION,ÁNCASH,2
52,REGION,LIMA,2
53,REGION,ICA,2
54,REGION,JUNÍN,2
55,REGION,TUMBES,2
56,REGION,PIURA,2
57,REGION,HUÁNUCO,2
58,REGION,PUNO,2
59,REGION,APURÍMAC,2
60,DISTRITO,VILLA MARÍA DEL TRIUNFO,3
61,DISTRITO,ATE,3
62,DISTRITO,COMAS,3
63,DISTRITO,LOS OLIVOS,3
64,DISTRITO,SAN JUAN DE LURIGANCHO,3
65,DISTRITO,CHORRILLOS,3
66,PROVINCIA,TRUJILLO,3
67,PROVINCIA,BARRANCA,3
68,PROVINCIA,CALLAO,3
69,PROVINCIA,SANTA,3
70,PROVINCIA,JAÉN,3
71,PROVINCIA,HUALLAGA,3
72,PROVINCIA,MOYOBAMBA,3
73,PROVINCIA,SAN MARTÍN,3
74,PROVINCIA,AREQUIPA,3
75,PROVINCIA,ALTO AMAZONAS,3
76,PROVINCIA,TACNA,3
77,PROVINCIA,MAYNAS,3
78,PROVINCIA,CHOTA,3
79,PROVINCIA,LORETO,3
80,PROVINCIA,PIURA,3
81,PROVINCIA,HUANCABAMBA,3
82,PROVINCIA,CHICLAYO,3
83,REGION,LIMA,3
84,REGION,ÁNCASH,3
85,REGION,CAJAMARCA,3
86,REGION,SAN MARTÍN,3
87,REGION,AREQUIPA,3
88,REGION,LORETO,3
89,REGION,TACNA,3
90,REGION,CAJAMARCA,3
91,REGION,PIURA,3
92,REGION,LAMBAYEQUE,3
93,DISTRITO,JESÚS MARÍA,4
94,DISTRITO,PUEBLO LIBRE,4
95,DISTRITO,INDEPENDENCIA,4
96,DISTRITO,LA VICTORIA,4
97,PROVINCIA,PISCO,4
98,PROVINCIA,ICA,4
99,PROVINCIA,CALLAO,4
100,PROVINCIA,TRUJILLO,4
101,PROVINCIA,LAMBAYEQUE,4
102,PROVINCIA,PIURA,4
103,PROVINCIA,TALARA,4
104,PROVINCIA,TACNA,4
105,PROVINCIA,TUMBES,4
106,REGION,MADRE DE DIOS,4
107,REGION,ICA,4
108,REGION,LA LIBERTAD,4
109,REGION,LAMBAYEQUE,4
110,REGION,PIURA,4
111,REGION,TACNA,4
112,REGION,TUMBES,4
113,REGION,LIMA,4
114,DISTRITO,CARABAYLLO,5
115,PROVINCIA,TRUJILLO,5
116,PROVINCIA,PACASMAYO,5
117,PROVINCIA,ASCOPE,5
118,PROVINCIA,SANTA,5
119,PROVINCIA,LA CONVENCIÓN,5
120,REGION,LA LIBERTAD,5
121,REGION,ÁNCASH,5
122,REGION,CUSCO,5
123,REGION,LIMA,5
124,DISTRITO,SAN JUAN DE LURIGANCHO,6
125,DISTRITO,ATE,6
126,PROVINCIA,CHINCHA,6
127,PROVINCIA,HUAURA,6
128,PROVINCIA,CHICLAYO,6
129,PROVINCIA,CASMA,6
130,PROVINCIA,HUARMEY,6
131,PROVINCIA,SANTA,6
132,PROVINCIA,ZARUMILLA,6
133,PROVINCIA,CORONEL PORTILLO,6
134,PROVINCIA,CALLAO,6
135,REGION,ICA,6
136,REGION,LIMA,6
137,REGION,LAMBAYEQUE,6
138,REGION,ÁNCASH,6
139,REGION,TUMBES,6
140,REGION,LORETO,6
141,DISTRITO,PACHACÁMAC,7
142,DISTRITO,VILLA MARÍA DEL TRIUNFO,7
143,PROVINCIA,ESPINAR,7
144,PROVINCIA,CUSCO,7
145,PROVINCIA,CORONEL PORTILLO,7
146,PROVINCIA,PIURA,7
147,PROVINCIA,MAYNAS,7
148,PROVINCIA,JUNÍN,7
149,PROVINCIA,JAUJA,7
150,PROVINCIA,HUANCAYO,7
151,PROVINCIA,PISCO,7
152,PROVINCIA,ICA,7
153,PROVINCIA,ANTA,7
154,PROVINCIA,AREQUIPA,7
155,REGION,CUSCO,7
156,REGION,UCAYALI,7
157,REGION,PIURA,7
158,REGION,LORETO,7
159,REGION,JUNÍN,7
160,REGION,ICA,7
161,REGION,AREQUIPA,7
162,REGION,LIMA,7
163,DISTRITO,CERCADO DE LIMA,8
164,DISTRITO,LURIGANCHO-CHOSICA,8
165,DISTRITO,SAN JUAN DE LURIGANCHO,8
166,PROVINCIA,CHUCUITO,8
167,PROVINCIA,CUSCO,8
168,PROVINCIA,COTABAMBAS,8
169,PROVINCIA,PUNO,8
170,PROVINCIA,CAYLLOMA,8
171,PROVINCIA,CARAVELÍ,8
172,PROVINCIA,ESPINAR,8
173,PROVINCIA,ACOMAYO,8
174,PROVINCIA,CHOTA,8
175,PROVINCIA,SAN ROMÁN,8
176,PROVINCIA,HUANCAVELICA,8
177,PROVINCIA,JUNÍN,8
178,PROVINCIA,CHANCHAMAYO,8
179,PROVINCIA,HUAMANGA,8
180,PROVINCIA,HUARMEY,8
181,PROVINCIA,VIRÚ,8
182,PROVINCIA,TUMBES,8
183,PROVINCIA,PIURA,8
184,PROVINCIA,CHUMBIVILCAS,8
185,REGION,PUNO,8
186,REGION,CUSCO,8
187,REGION,APURÍMAC,8
188,REGION,AREQUIPA,8
189,REGION,CAJAMARCA,8
190,REGION,HUANCAVELICA,8
191,REGION,JUNÍN,8
192,REGION,AYACUCHO,8
193,REGION,ÁNCASH,8
194,REGION,LA LIBERTAD,8
195,REGION,TUMBES,8
196,REGION,PIURA,8
197,REGION,LIMA,8
198,DISTRITO,SAN JUAN DE LURIGANCHO,9
199,DISTRITO,INDEPENDENCIA,9
200,PROVINCIA,HUÁNUCO,9
201,PROVINCIA,CHINCHA,9
202,PROVINCIA,SAN MARTÍN,9
203,PROVINCIA,LEONCIO PRADO,9
204,PROVINCIA,CORONEL PORTILLO,9
205,PROVINCIA,CAJAMARCA,9
206,PROVINCIA,CHOTA,9
207,PROVINCIA,CONTUMAZÁ,9
208,PROVINCIA,CANCHIS,9
209,PROVINCIA,CUSCO,9
210,PROVINCIA,ESPINAR,9
211,PROVINCIA,CALCA,9
212,PROVINCIA,SAN ROMÁN,9
213,PROVINCIA,TUMBES,9
214,REGION,HUÁNUCO,9
215,REGION,ICA,9
216,REGION,SAN MARTÍN,9
217,REGION,UCAYALI,9
218,REGION,CAJAMARCA,9
219,REGION,CUSCO,9
220,REGION,PUNO,9
221,REGION,LIMA,9
222,REGION,TUMBES,9
223,DISTRITO,BREÑA,10
224,PROVINCIA,PUNO,10
225,PROVINCIA,HUAMANGA,10
226,PROVINCIA,CUSCO,10
227,PROVINCIA,LA CONVENCIÓN,10
228,PROVINCIA,TRUJILLO,10
229,PROVINCIA,SANTA,10
230,PROVINCIA,TUMBES,10
231,PROVINCIA,CORONEL PORTILLO,10
232,PROVINCIA,CALLAO,10
233,PROVINCIA,CHICLAYO,10
234,PROVINCIA,ASCOPE,10
235,PROVINCIA,SANTIAGO DE CHUCO,10
236,PROVINCIA,VIRÚ,10
237,PROVINCIA,AREQUIPA,10
238,PROVINCIA,SECHURA,10
239,PROVINCIA,MORROPÓN,10
240,REGION,PUNO,10
241,REGION,AYACUCHO,10
242,REGION,CUSCO,10
243,REGION,LA LIBERTAD,10
244,REGION,ÁNCASH,10
245,REGION,TUMBES,10
246,REGION,UCAYALI,10
247,REGION,LAMBAYEQUE,10
248,REGION,AREQUIPA,10
249,REGION,PIURA,10
250,REGION,LIMA,10
251,DISTRITO,CERCADO DE LIMA,11
252,PROVINCIA,SAN ROMÁN,11
253,PROVINCIA,PUNO,11
254,REGION,CAJAMARCA,11
255,REGION,PUNO,11
256,DISTRITO,LA VICTORIA,12
257,DISTRITO,CERCADO DE LIMA,12
258,DISTRITO,SAN JUAN DE LURIGANCHO,12
259,PROVINCIA,CAJAMARCA,12
260,PROVINCIA,JAÉN,12
261,PROVINCIA,PUNO,12
262,PROVINCIA,MAYNAS,12
263,PROVINCIA,SANTA,12
264,REGION,CAJAMARCA,12
265,REGION,PUNO,12
266,REGION,LORETO,12
267,REGION,ÁNCASH,12
268,PROVINCIA,SAN ROMÁN,13
269,REGION,PUNO,13
270,DISTRITO,CERCADO DE LIMA,14
271,DISTRITO,SANTIAGO DE SURCO,14
272,DISTRITO,COMAS,14
273,PROVINCIA,SAN MARTÍN,14
274,PROVINCIA,TRUJILLO,14
275,PROVINCIA,CAJAMARCA,14
276,PROVINCIA,SATIPO,14
277,PROVINCIA,PUNO,14
278,PROVINCIA,BAGUA,14
279,PROVINCIA,JAÉN,14
280,PROVINCIA,CALLAO,14
281,PROVINCIA,SAN ROMÁN,14
282,PROVINCIA,CHINCHA,14
283,PROVINCIA,ICA,14
284,PROVINCIA,ABANCAY,14
285,PROVINCIA,COTABAMBAS,14
286,PROVINCIA,CHINCHEROS,14
287,PROVINCIA,ACOBAMBA,14
288,PROVINCIA,TAYACAJA,14
289,REGION,SAN MARTÍN,14
290,REGION,LA LIBERTAD,14
291,REGION,CAJAMARCA,14
292,REGION,JUNÍN,14
293,REGION,PUNO,14
294,REGION,AMAZONAS,14
295,REGION,ICA,14
296,REGION,APURÍMAC,14
297,REGION,HUANCAVELICA,14
298,DISTRITO,SAN JUAN DE MIRAFLORES,15
299,PROVINCIA,PASCO,15
300,PROVINCIA,SAN MARTÍN,15
301,PROVINCIA,MAYNAS,15
302,PROVINCIA,AREQUIPA,15
303,PROVINCIA,CUSCO,15
304,PROVINCIA,HUÁNUCO,15
305,PROVINCIA,TRUJILLO,15
306,PROVINCIA,SANTA,15
307,PROVINCIA,CAÑETE,15
308,PROVINCIA,HUARAL,15
309,PROVINCIA,LA CONVENCIÓN,15
310,PROVINCIA,CAJAMARCA,15
311,PROVINCIA,ICA,15
312,PROVINCIA,BARRANCA,15
313,PROVINCIA,MARISCAL CÁCERES,15
314,REGION,PASCO,15
315,REGION,SAN MARTÍN,15
316,REGION,LORETO,15
317,REGION,AREQUIPA,15
318,REGION,CUSCO,15
319,REGION,JUNÍN,15
320,REGION,LA LIBERTAD,15
321,REGION,ÁNCASH,15
322,REGION,LIMA,15
323,REGION,ICA,15
324,REGION,CAJAMARCA,15
325,DISTRITO,LURIGANCHO-CHOSICA,16
326,DISTRITO,PACHACÁMAC,16
327,DISTRITO,SAN JUAN DE LURIGANCHO,16
328,DISTRITO,ATE,16
329,PROVINCIA,SAN ROMÁN,16
330,PROVINCIA,JAUJA,16
331,PROVINCIA,CASTILLA,16
332,PROVINCIA,BARRANCA,16
333,PROVINCIA,HUAURA,16
334,PROVINCIA,HUARAL,16
335,PROVINCIA,SANTA,16
336,PROVINCIA,CHEPÉN,16
337,PROVINCIA,SULLANA,16
338,PROVINCIA,CHICLAYO,16
339,PROVINCIA,TRUJILLO,16
340,PROVINCIA,HUARMEY,16
341,REGION,PUNO,16
342,REGION,JUNÍN,16
343,REGION,AREQUIPA,16
344,REGION,LIMA,16
345,REGION,ÁNCASH,16
346,REGION,LA LIBERTAD,16
347,REGION,PIURA,16
348,REGION,LAMBAYEQUE,16
349,DISTRITO,COMAS,17
350,DISTRITO,SAN JUAN DE LURIGANCHO,17
351,DISTRITO,VILLA EL SALVADOR,17
352,DISTRITO,CARABAYLLO,17
353,PROVINCIA,MAYNAS,17
354,PROVINCIA,CHINCHA,17
355,PROVINCIA,ICA,17
356,PROVINCIA,PIURA,17
357,PROVINCIA,CAJAMARCA,17
358,PROVINCIA,TACNA,17
359,PROVINCIA,ILO,17
360,PROVINCIA,LEONCIO PRADO,17
361,PROVINCIA,HUÁNUCO,17
362,REGION,LORETO,17
363,REGION,ICA,17
364,REGION,PIURA,17
365,REGION,CAJAMARCA,17
366,REGION,TACNA,17
367,REGION,MOQUEGUA,17
368,REGION,HUÁNUCO,17
369,DISTRITO,SAN JUAN DE LURIGANCHO,18
370,DISTRITO,LA VICTORIA,18
371,PROVINCIA,SULLANA,18
372,PROVINCIA,PIURA,18
373,PROVINCIA,HUANCAYO,18
374,PROVINCIA,HUANTA,18
375,PROVINCIA,CHICLAYO,18
376,PROVINCIA,FERREÑAFE,18
377,PROVINCIA,TRUJILLO,18
378,PROVINCIA,SANTA,18
379,PROVINCIA,AREQUIPA,18
380,PROVINCIA,ILO,18
381,REGION,PIURA,18
382,REGION,JUNÍN,18
383,REGION,AYACUCHO,18
384,REGION,LAMBAYEQUE,18
385,REGION,LA LIBERTAD,18
386,REGION,ÁNCASH,18
387,REGION,AREQUIPA,18
388,REGION,MOQUEGUA,18
389,PROVINCIA,AREQUIPA,19
390,PROVINCIA,TACNA,19
391,PROVINCIA,ICA,19
392,REGION,AREQUIPA,19
393,REGION,TACNA,19
394,REGION,ICA,19
395,PROVINCIA,TUMBES,20
396,REGION,TUMBES,20
397,DISTRITO,SAN JUAN DE MIRAFLORES,22
398,DISTRITO,ATE,22
399,DISTRITO,VILLA EL SALVADOR,22
400,DISTRITO,LA VICTORIA,22
401,DISTRITO,CHORRILLOS,22
402,DISTRITO,SAN MARTÍN DE PORRES,22
403,DISTRITO,VILLA MARÍA DEL TRIUNFO,22
404,PROVINCIA,HUARAZ,22
405,PROVINCIA,SANTA,22
406,PROVINCIA,PACASMAYO,22
407,PROVINCIA,TRUJILLO,22
408,PROVINCIA,CHICLAYO,22
409,PROVINCIA,PIURA,22
410,PROVINCIA,TALARA,22
411,PROVINCIA,MORROPÓN,22
412,PROVINCIA,ZARUMILLA,22
413,PROVINCIA,BAGUA,22
414,PROVINCIA,JAÉN,22
415,PROVINCIA,CHOTA,22
416,PROVINCIA,CAJAMARCA,22
417,PROVINCIA,ICA,22
418,PROVINCIA,PISCO,22
419,PROVINCIA,SAN ROMÁN,22
420,PROVINCIA,PUNO,22
421,PROVINCIA,AZÁNGARO,22
422,PROVINCIA,MELGAR,22
423,PROVINCIA,EL COLLAO,22
424,PROVINCIA,HUANCANÉ,22
425,PROVINCIA,ILO,22
426,PROVINCIA,AREQUIPA,22
427,PROVINCIA,CANAS,22
428,PROVINCIA,CANCHIS,22
429,PROVINCIA,CUSCO,22
430,PROVINCIA,LA CONVENCIÓN,22
431,PROVINCIA,ABANCAY,22
432,PROVINCIA,ANDAHUAYLAS,22
433,PROVINCIA,HUANTA,22
434,REGION,ÁNCASH,22
435,REGION,LA LIBERTAD,22
436,REGION,LAMBAYEQUE,22
437,REGION,PIURA,22
438,REGION,TUMBES,22
439,REGION,AMAZONAS,22
440,REGION,CAJAMARCA,22
441,REGION,ICA,22
442,REGION,PUNO,22
443,REGION,MOQUEGUA,22
444,REGION,AREQUIPA,22
445,REGION,CUSCO,22
446,REGION,APURÍMAC,22
447,REGION,AYACUCHO,22
448,DISTRITO,CARABAYLLO,23
449,DISTRITO,LINCE,23
450,DISTRITO,SANTA ANITA,23
451,DISTRITO,SAN JUAN DE LURIGANCHO,23
452,DISTRITO,LURÍN,23
453,PROVINCIA,CHINCHA,23
454,PROVINCIA,ICA,23
455,PROVINCIA,NAZCA,23
456,PROVINCIA,TRUJILLO,23
457,PROVINCIA,CHICLAYO,23
458,PROVINCIA,SANTA,23
459,PROVINCIA,PUNO,23
460,PROVINCIA,CAMANÁ,23
461,PROVINCIA,CALLAO,23
462,PROVINCIA,CAÑETE,23
463,REGION,ICA,23
464,REGION,LA LIBERTAD,23
465,REGION,LAMBAYEQUE,23
466,REGION,ÁNCASH,23
467,REGION,PUNO,23
468,REGION,AREQUIPA,23
469,DISTRITO,SAN JUAN DE LURIGANCHO,25
470,DISTRITO,CHORRILLOS,25
471,DISTRITO,LA VICTORIA,25
472,DISTRITO,CERCADO DE LIMA,25
473,DISTRITO,VILLA MARÍA DEL TRIUNFO,25
474,DISTRITO,CHACLACAYO,25
475,DISTRITO,BREÑA,25
476,PROVINCIA,ICA,25
477,PROVINCIA,HUARAL,25
478,PROVINCIA,MARISCAL RAMÓN CASTILLA,25
479,PROVINCIA,CUSCO,25
480,PROVINCIA,SANTA,25
481,PROVINCIA,TRUJILLO,25
482,PROVINCIA,HUAROCHIRÍ,25
483,PROVINCIA,HUANCAYO,25
484,PROVINCIA,AREQUIPA,25
485,PROVINCIA,TACNA,25
486,PROVINCIA,CORONEL PORTILLO,25
487,PROVINCIA,PUNO,25
488,PROVINCIA,HUARMEY,25
489,PROVINCIA,CALLAO,25
490,REGION,ICA,25
491,REGION,LORETO,25
492,REGION,LIMA,25
493,REGION,CUSCO,25
494,REGION,LA LIBERTAD,25
495,REGION,ÁNCASH,25
496,REGION,JUNÍN,25
497,REGION,AREQUIPA,25
498,REGION,TACNA,25
499,REGION,UCAYALI,25
500,REGION,PUNO,25
501,DISTRITO,VILLA MARÍA DEL TRIUNFO,26
502,DISTRITO,CARABAYLLO,26
503,DISTRITO,PACHACÁMAC,26
504,DISTRITO,INDEPENDENCIA,26
505,DISTRITO,SAN MARTÍN DE PORRES,26
506,DISTRITO,COMAS,26
507,DISTRITO,SAN MIGUEL,26
508,PROVINCIA,HUANCAYO,26
509,PROVINCIA,MAYNAS,26
510,PROVINCIA,TACNA,26
511,PROVINCIA,AREQUIPA,26
512,PROVINCIA,CHICLAYO,26
513,PROVINCIA,TRUJILLO,26
514,REGION,JUNÍN,26
515,REGION,LORETO,26
516,REGION,TACNA,26
517,REGION,AREQUIPA,26
518,REGION,MOQUEGUA,26
519,REGION,LAMBAYEQUE,26
520,REGION,LA LIBERTAD,26
521,REGION,AYACUCHO,26
522,DISTRITO,SAN JUAN DE LURIGANCHO,28
523,PROVINCIA,TRUJILLO,28
524,PROVINCIA,HUANCABAMBA,28
525,PROVINCIA,AREQUIPA,28
526,REGION,LA LIBERTAD,28
527,REGION,PIURA,28
528,REGION,AREQUIPA,28
529,REGION,LIMA,28
530,REGION,LAMBAYEQUE,28
531,DISTRITO,CERCADO DE LIMA,29
532,DISTRITO,LA VICTORIA,29
533,DISTRITO,CARABAYLLO,29
534,DISTRITO,COMAS,29
535,DISTRITO,RÍMAC,29
536,DISTRITO,SAN JUAN DE MIRAFLORES,29
537,PROVINCIA,CAJAMARCA,29
538,PROVINCIA,HUARAL,29
539,PROVINCIA,SANTA,29
540,PROVINCIA,HUANCAYO,29
541,PROVINCIA,CHINCHA,29
542,PROVINCIA,CALLAO,29
543,REGION,CAJAMARCA,29
544,REGION,LIMA,29
545,REGION,ÁNCASH,29
546,REGION,JUNÍN,29
547,REGION,ICA,29
548,DISTRITO,ATE,30
549,PROVINCIA,PIURA,30
550,PROVINCIA,HUANCAVELICA,30
551,PROVINCIA,CUSCO,30
552,REGION,PIURA,30
553,REGION,APURÍMAC,30
554,REGION,HUANCAVELICA,30
555,REGION,CUSCO,30
556,PROVINCIA,CALCA,31
557,PROVINCIA,VÍCTOR FAJARDO,31
558,PROVINCIA,VILCAS HUAMÁN,31
559,PROVINCIA,CHINCHA,31
560,PROVINCIA,HUARMEY,31
561,PROVINCIA,TRUJILLO,31
562,PROVINCIA,MAYNAS,31
563,REGION,CUSCO,31
564,REGION,AYACUCHO,31
565,REGION,ICA,31
566,REGION,ÁNCASH,31
567,REGION,LA LIBERTAD,31
568,REGION,LORETO,31
569,DISTRITO,SAN JUAN DE LURIGANCHO,32
570,DISTRITO,RÍMAC,32
571,DISTRITO,CERCADO DE LIMA,32
572,PROVINCIA,ILO,32
573,PROVINCIA,AREQUIPA,32
574,PROVINCIA,TAMBOPATA,32
575,PROVINCIA,JAUJA,32
576,PROVINCIA,CHINCHA,32
577,PROVINCIA,PIURA,32
578,PROVINCIA,CUSCO,32
579,PROVINCIA,TALARA,32
580,PROVINCIA,LA CONVENCIÓN,32
581,PROVINCIA,ABANCAY,32
582,PROVINCIA,MARISCAL NIETO,32
583,PROVINCIA,PISCO,32
584,PROVINCIA,ICA,32
585,PROVINCIA,PALPA,32
586,PROVINCIA,NAZCA,32
587,PROVINCIA,URUBAMBA,32
588,PROVINCIA,ESPINAR,32
589,PROVINCIA,ANTA,32
590,PROVINCIA,ANDAHUAYLAS,32
591,PROVINCIA,LUCANAS,32
592,PROVINCIA,BARRANCA,32
593,PROVINCIA,CAÑETE,32
594,REGION,MOQUEGUA,32
595,REGION,AREQUIPA,32
596,REGION,JUNÍN,32
597,REGION,MADRE DE DIOS,32
598,REGION,PIURA,32
599,REGION,CUSCO,32
600,REGION,APURÍMAC,32
601,REGION,AYACUCHO,32
602,REGION,UCAYALI,32
603,REGION,LIMA,32
604,PROVINCIA,CUSCO,33
605,PROVINCIA,ICA,33
606,REGION,CUSCO,33
607,REGION,ICA,33
608,PROVINCIA,CAÑETE,35
609,PROVINCIA,PISCO,35
610,PROVINCIA,ICA,35
611,PROVINCIA,TUMBES,35
612,PROVINCIA,SULLANA,35
613,PROVINCIA,PIURA,35
614,PROVINCIA,MORROPÓN,35
615,PROVINCIA,LAMBAYEQUE,35
616,PROVINCIA,CHICLAYO,35
617,PROVINCIA,FERREÑAFE,35
618,PROVINCIA,PACASMAYO,35
619,PROVINCIA,VIRÚ,35
620,PROVINCIA,TRUJILLO,35
621,PROVINCIA,TACNA,35
622,PROVINCIA,ILO,35
623,PROVINCIA,ISLAY,35
624,PROVINCIA,CAMANÁ,35
625,PROVINCIA,AREQUIPA,35
626,PROVINCIA,CAYLLOMA,35
627,PROVINCIA,HUANCAYO,35
628,REGION,LIMA,35
629,REGION,ICA,35
630,REGION,TUMBES,35
631,REGION,PIURA,35
632,REGION,LAMBAYEQUE,35
633,REGION,LA LIBERTAD,35
634,REGION,TACNA,35
635,REGION,AREQUIPA,35
636,REGION,JUNÍN,35
637,DISTRITO,LA VICTORIA,36
638,DISTRITO,PUENTE PIEDRA,36
639,DISTRITO,LURIGANCHO-CHOSICA,36
640,PROVINCIA,ICA,36
641,PROVINCIA,SAN MARTÍN,36
642,PROVINCIA,TRUJILLO,36
643,PROVINCIA,OTUZCO,36
644,PROVINCIA,CHICLAYO,36
645,PROVINCIA,PIURA,36
646,PROVINCIA,TUMBES,36
647,PROVINCIA,HUARAZ,36
648,PROVINCIA,HUANCAYO,36
649,PROVINCIA,MOYOBAMBA,36
650,PROVINCIA,AREQUIPA,36
651,PROVINCIA,PUNO,36
652,PROVINCIA,TACNA,36
653,PROVINCIA,HUÁNUCO,36
654,PROVINCIA,MAYNAS,36
655,PROVINCIA,CORONEL PORTILLO,36
656,REGION,ICA,36
657,REGION,SAN MARTÍN,36
658,REGION,LA LIBERTAD,36
659,REGION,LAMBAYEQUE,36
660,REGION,PIURA,36
661,REGION,TUMBES,36
662,REGION,ÁNCASH,36
663,REGION,JUNÍN,36
664,REGION,AREQUIPA,36
665,REGION,TACNA,36
666,REGION,HUÁNUCO,36
667,REGION,LORETO,36
668,REGION,UCAYALI,36
